,노드_x,행정동명,통,총인구수,쓰레기양
0,0,청구동,12,895,612.9727382066017
2,1,동화동,1,448,306.8288119738073
4,2,동화동,6,673,921.8562074034478
5,3,동화동,8,717,982.1261526125886
6,4,신당동,11,169,231.49138046238141
7,5,황학동,26,780,1068.4217559802219
8,6,약수동,7,507,173.61853534678605
12,7,신당동,1,332,151.58804401086908
15,8,신당동,2,569,35.427271512397795
1,9,청구동,12,895,612.9727382066017
37,10,청구동,10,268,122.366252394316
38,11,청구동,10,268,122.366252394316
40,12,동화동,10,514,140.81250835226513
45,13,신당동,13,605,414.35587331284245
47,14,신당동,10,133,45.544901777362014
51,15,청구동,1,266,182.17960710944806
53,16,청구동,9,656,224.64252305225176
39,17,청구동,10,268,122.366252394316
3,18,동화동,1,448,306.8288119738073
48,19,신당동,10,133,45.544901777362014
49,20,신당동,10,133,45.544901777362014
57,21,신당동,19,699,136.78146656230314
54,22,청구동,9,656,224.64252305225176
64,23,청구동,2,292,133.3244242505234
67,24,신당동,4,265,60.498240456145034
41,25,동화동,10,514,140.81250835226513
73,26,신당동,3,360,61.63971669116665
81,27,신당동,8,393,538.3201924361887
58,28,신당동,19,699,136.78146656230314
82,29,청구동,8,554,758.8534010423627
55,30,청구동,9,656,224.64252305225176
83,31,황학동,14,431,196.79050291772464
74,32,신당동,3,360,61.63971669116665
50,33,신당동,10,133,45.544901777362014
86,34,약수동,1,599,820.4931177335293
87,35,동화동,2,286,97.93866096485367
16,36,신당동,2,569,35.427271512397795
75,37,신당동,3,360,61.63971669116665
91,38,신당동,6,417,285.59735400240544
88,39,동화동,2,286,97.93866096485367
56,40,청구동,9,656,224.64252305225176
93,41,신당동,5,340,232.86115194440734
94,42,신당동,5,340,232.86115194440734
95,43,청구동,3,216,98.62354670586664
96,44,청구동,3,216,98.62354670586664
98,45,황학동,3,154,52.73620205799813
102,46,황학동,1,884,605.438995055459
89,47,동화동,2,286,97.93866096485367
65,48,청구동,2,292,133.3244242505234
42,49,동화동,10,514,140.81250835226513
43,50,동화동,10,514,140.81250835226513
44,51,동화동,10,514,140.81250835226513
104,52,신당동,9,214,97.71036571784934
59,53,신당동,19,699,136.78146656230314
90,54,동화동,2,286,97.93866096485367
107,55,청구동,4,399,136.63470533208607
108,56,청구동,4,399,136.63470533208607
105,57,신당동,9,214,97.71036571784934
66,58,청구동,2,292,133.3244242505234
97,59,청구동,3,216,98.62354670586664
76,60,신당동,3,360,61.63971669116665
111,61,신당5동,15,471,215.05412267807029
114,62,황학동,13,183,125.33409060537217
60,63,신당동,19,699,136.78146656230314
61,64,신당동,19,699,136.78146656230314
116,65,청구동,6,344,94.24027796338366
117,66,청구동,6,344,94.24027796338366
62,67,신당동,19,699,136.78146656230314
121,68,신당5동,5,615,280.8031538153147
118,69,청구동,6,344,94.24027796338366
106,70,신당동,9,214,97.71036571784934
9,71,약수동,7,507,173.61853534678605
124,72,청구동,17,1070,1465.6554857677402
17,73,신당동,2,569,35.427271512397795
92,74,신당동,6,417,285.59735400240544
125,75,약수동,9,281,384.905786449285
126,76,황학동,19,318,217.79366564212214
128,77,황학동,7,728,332.3978796382913
131,78,황학동,4,377,258.20192436188694
133,79,황학동,18,719,984.8656955766404
134,80,황학동,17,247,112.77785202013452
137,81,황학동,12,107,73.282774288387
138,82,황학동,12,107,73.282774288387
13,83,신당동,1,332,151.58804401086908
129,84,황학동,7,728,332.3978796382913
139,85,황학동,8,762,1043.7658693037552
140,86,황학동,15,643,440.381531471335
141,87,황학동,15,643,440.381531471335
84,88,황학동,14,431,196.79050291772464
132,89,황학동,4,377,258.20192436188694
142,90,황학동,9,555,760.2231725243886
63,91,신당동,19,699,136.78146656230314
130,92,황학동,7,728,332.3978796382913
135,93,황학동,17,247,112.77785202013452
143,94,황학동,16,553,378.74181478016834
85,95,황학동,14,431,196.79050291772464
99,96,황학동,3,154,52.73620205799813
136,97,황학동,17,247,112.77785202013452
145,98,황학동,20,738,1010.8913537351331
14,99,신당동,1,332,151.58804401086908
146,100,약수동,6,156,71.22811706534812
149,101,청구동,7,694,950.6214085259923
150,102,신당5동,3,469,160.60570626753977
144,103,황학동,16,553,378.74181478016834
154,104,신당5동,4,631,432.16290257917944
122,105,신당5동,5,615,280.8031538153147
103,106,황학동,1,884,605.438995055459
156,107,신당동,7,154,210.9448082319925
18,108,신당동,2,569,35.427271512397795
19,109,신당동,2,569,35.427271512397795
20,110,신당동,2,569,35.427271512397795
115,111,황학동,13,183,125.33409060537217
127,112,황학동,19,318,217.79366564212214
10,113,약수동,7,507,173.61853534678605
147,114,약수동,6,156,71.22811706534812
157,115,동화동,4,471,322.58118401710544
158,116,동화동,4,471,322.58118401710544
159,117,약수동,12,319,436.9571027662702
160,118,동화동,9,350,479.4200187090739
161,119,약수동,17,778,1065.68221301617
162,120,약수동,11,283,387.6453294133369
11,121,약수동,7,507,173.61853534678605
163,122,신당5동,9,471,322.58118401710544
164,123,신당5동,9,471,322.58118401710544
148,124,약수동,6,156,71.22811706534812
165,125,동화동,3,412,564.3458505946812
166,126,약수동,8,309,423.259387946011
155,127,신당5동,4,631,432.16290257917944
112,128,신당5동,15,471,215.05412267807029
113,129,신당5동,15,471,215.05412267807029
167,130,신당5동,17,203,92.6878702837543
100,131,황학동,3,154,52.73620205799813
151,132,신당5동,3,469,160.60570626753977
101,133,황학동,3,154,52.73620205799813
168,134,신당5동,17,203,92.6878702837543
169,135,신당5동,17,203,92.6878702837543
152,136,신당5동,3,469,160.60570626753977
153,137,신당5동,3,469,160.60570626753977
123,138,신당5동,5,615,280.8031538153147
170,139,황학동,6,290,397.2337297875183
21,140,신당동,2,569,35.427271512397795
22,141,신당동,2,569,35.427271512397795
23,142,신당동,2,569,35.427271512397795
24,143,신당동,2,569,35.427271512397795
25,144,신당동,2,569,35.427271512397795
26,145,신당동,2,569,35.427271512397795
27,146,신당동,2,569,35.427271512397795
28,147,신당동,2,569,35.427271512397795
29,148,신당동,2,569,35.427271512397795
171,149,청구동,19,899,1231.424562341307
77,150,신당동,3,360,61.63971669116665
78,151,신당동,3,360,61.63971669116665
68,152,신당동,4,265,60.498240456145034
30,153,신당동,2,569,35.427271512397795
31,154,신당동,2,569,35.427271512397795
32,155,신당동,2,569,35.427271512397795
33,156,신당동,2,569,35.427271512397795
34,157,신당동,2,569,35.427271512397795
35,158,신당동,2,569,35.427271512397795
69,159,신당동,4,265,60.498240456145034
79,160,신당동,3,360,61.63971669116665
119,161,청구동,6,344,94.24027796338366
36,162,신당동,2,569,35.427271512397795
70,163,신당동,4,265,60.498240456145034
80,164,신당동,3,360,61.63971669116665
52,165,청구동,1,266,182.17960710944806
71,166,신당동,4,265,60.498240456145034
109,167,청구동,4,399,136.63470533208607
110,168,청구동,4,399,136.63470533208607
46,169,신당동,13,605,414.35587331284245
120,170,청구동,6,344,94.24027796338366
72,171,신당동,4,265,60.498240456145034
