,행정동명,통,노드_x,노드_y,총인구수,세대수,비율,쓰레기양
0,청구동,12,0,2,895,313,0.029901109180809834,612.9727382066017
2,동화동,1,1,2,448,190,0.014967259120673527,306.8288119738073
4,동화동,6,2,1,673,244,0.022484297741547508,921.8562074034478
5,동화동,8,3,1,717,247,0.023954296405185087,982.1261526125886
6,신당동,11,4,1,169,108,0.0056461312307897905,231.49138046238141
7,황학동,26,5,1,780,653,0.0260590672190298,1068.4217559802219
8,약수동,7,6,4,507,376,0.01693839369236937,173.61853534678605
12,신당동,1,7,3,332,195,0.011091808098356274,151.58804401086908
15,신당동,2,8,22,569,449,0.019009755445676867,35.427271512397795
1,청구동,12,9,2,895,313,0.029901109180809834,612.9727382066017
37,청구동,10,10,3,268,199,0.008953628223974342,122.366252394316
38,청구동,10,11,3,268,199,0.008953628223974342,122.366252394316
40,동화동,10,12,5,514,220,0.017172257116129894,140.81250835226513
45,신당동,13,13,2,605,328,0.020212481625016706,414.35587331284245
47,신당동,10,14,4,133,79,0.004443405051449953,45.544901777362014
51,청구동,1,15,2,266,159,0.008886810102899906,182.17960710944806
53,청구동,9,16,4,656,393,0.021916343712414806,224.64252305225176
39,청구동,10,17,3,268,199,0.008953628223974342,122.366252394316
3,동화동,1,18,2,448,190,0.014967259120673527,306.8288119738073
48,신당동,10,19,4,133,79,0.004443405051449953,45.544901777362014
49,신당동,10,20,4,133,79,0.004443405051449953,45.544901777362014
57,신당동,19,21,7,699,622,0.02335293331551517,136.78146656230314
54,청구동,9,22,4,656,393,0.021916343712414806,224.64252305225176
64,청구동,2,23,3,292,165,0.009755445676867567,133.3244242505234
67,신당동,4,24,6,265,193,0.008853401042362688,60.498240456145034
41,동화동,10,25,5,514,220,0.017172257116129894,140.81250835226513
73,신당동,3,26,8,360,284,0.01202726179339837,61.63971669116665
81,신당동,8,27,1,393,244,0.013129760791126554,538.3201924361887
58,신당동,19,28,7,699,622,0.02335293331551517,136.78146656230314
82,청구동,8,29,1,554,344,0.018508619537618603,758.8534010423627
55,청구동,9,30,4,656,393,0.021916343712414806,224.64252305225176
83,황학동,14,31,3,431,266,0.014399305091540826,196.79050291772464
74,신당동,3,32,8,360,284,0.01202726179339837,61.63971669116665
50,신당동,10,33,4,133,79,0.004443405051449953,45.544901777362014
86,약수동,1,34,1,599,327,0.020012027261793398,820.4931177335293
87,동화동,2,35,4,286,152,0.00955499131364426,97.93866096485367
16,신당동,2,36,22,569,449,0.019009755445676867,35.427271512397795
75,신당동,3,37,8,360,284,0.01202726179339837,61.63971669116665
91,신당동,6,38,2,417,257,0.013931578244019778,285.59735400240544
88,동화동,2,39,4,286,152,0.00955499131364426,97.93866096485367
56,청구동,9,40,4,656,393,0.021916343712414806,224.64252305225176
93,신당동,5,41,2,340,240,0.011359080582654016,232.86115194440734
94,신당동,5,42,2,340,240,0.011359080582654016,232.86115194440734
95,청구동,3,43,3,216,117,0.007216357076039022,98.62354670586664
96,청구동,3,44,3,216,117,0.007216357076039022,98.62354670586664
98,황학동,3,45,4,154,128,0.005144995322731525,52.73620205799813
102,황학동,1,46,2,884,428,0.02953360951490044,605.438995055459
89,동화동,2,47,4,286,152,0.00955499131364426,97.93866096485367
65,청구동,2,48,3,292,165,0.009755445676867567,133.3244242505234
42,동화동,10,49,5,514,220,0.017172257116129894,140.81250835226513
43,동화동,10,50,5,514,220,0.017172257116129894,140.81250835226513
44,동화동,10,51,5,514,220,0.017172257116129894,140.81250835226513
104,신당동,9,52,3,214,152,0.007149538954964586,97.71036571784934
59,신당동,19,53,7,699,622,0.02335293331551517,136.78146656230314
90,동화동,2,54,4,286,152,0.00955499131364426,97.93866096485367
107,청구동,4,55,4,399,220,0.01333021515434986,136.63470533208607
108,청구동,4,56,4,399,220,0.01333021515434986,136.63470533208607
105,신당동,9,57,3,214,152,0.007149538954964586,97.71036571784934
66,청구동,2,58,3,292,165,0.009755445676867567,133.3244242505234
97,청구동,3,59,3,216,117,0.007216357076039022,98.62354670586664
76,신당동,3,60,8,360,284,0.01202726179339837,61.63971669116665
111,신당5동,15,61,3,471,247,0.015735667513029534,215.05412267807029
114,황학동,13,62,2,183,157,0.006113858078310838,125.33409060537217
60,신당동,19,63,7,699,622,0.02335293331551517,136.78146656230314
61,신당동,19,64,7,699,622,0.02335293331551517,136.78146656230314
116,청구동,6,65,5,344,154,0.011492716824802886,94.24027796338366
117,청구동,6,66,5,344,154,0.011492716824802886,94.24027796338366
62,신당동,19,67,7,699,622,0.02335293331551517,136.78146656230314
121,신당5동,5,68,3,615,271,0.02054657223038888,280.8031538153147
118,청구동,6,69,5,344,154,0.011492716824802886,94.24027796338366
106,신당동,9,70,3,214,152,0.007149538954964586,97.71036571784934
9,약수동,7,71,4,507,376,0.01693839369236937,173.61853534678605
124,청구동,17,72,1,1070,371,0.03574769477482293,1465.6554857677402
17,신당동,2,73,22,569,449,0.019009755445676867,35.427271512397795
92,신당동,6,74,2,417,257,0.013931578244019778,285.59735400240544
125,약수동,9,75,1,281,147,0.009387946010958171,384.905786449285
126,황학동,19,76,2,318,231,0.010624081250835226,217.79366564212214
128,황학동,7,77,3,728,409,0.02432179607109448,332.3978796382913
131,황학동,4,78,2,377,212,0.012595215822531071,258.20192436188694
133,황학동,18,79,1,719,473,0.02402111452625952,984.8656955766404
134,황학동,17,80,3,247,150,0.00825203795269277,112.77785202013452
137,황학동,12,81,2,107,75,0.003574769477482293,73.282774288387
138,황학동,12,82,2,107,75,0.003574769477482293,73.282774288387
13,신당동,1,83,3,332,195,0.011091808098356274,151.58804401086908
129,황학동,7,84,3,728,409,0.02432179607109448,332.3978796382913
139,황학동,8,85,1,762,572,0.02545770412935988,1043.7658693037552
140,황학동,15,86,2,643,449,0.021482025925430977,440.381531471335
141,황학동,15,87,2,643,449,0.021482025925430977,440.381531471335
84,황학동,14,88,3,431,266,0.014399305091540826,196.79050291772464
132,황학동,4,89,2,377,212,0.012595215822531071,258.20192436188694
142,황학동,9,90,1,555,453,0.01854202859815582,760.2231725243886
63,신당동,19,91,7,699,622,0.02335293331551517,136.78146656230314
130,황학동,7,92,3,728,409,0.02432179607109448,332.3978796382913
135,황학동,17,93,3,247,150,0.00825203795269277,112.77785202013452
143,황학동,16,94,2,553,330,0.018475210477081384,378.74181478016834
85,황학동,14,95,3,431,266,0.014399305091540826,196.79050291772464
99,황학동,3,96,4,154,128,0.005144995322731525,52.73620205799813
136,황학동,17,97,3,247,150,0.00825203795269277,112.77785202013452
145,황학동,20,98,1,738,319,0.02465588667646666,1010.8913537351331
14,신당동,1,99,3,332,195,0.011091808098356274,151.58804401086908
146,약수동,6,100,3,156,87,0.00521181344380596,71.22811706534812
149,청구동,7,101,1,694,377,0.02318588801282908,950.6214085259923
150,신당5동,3,102,4,469,301,0.0156688493919551,160.60570626753977
144,황학동,16,103,2,553,330,0.018475210477081384,378.74181478016834
154,신당5동,4,104,2,631,341,0.021081117198984364,432.16290257917944
122,신당5동,5,105,3,615,271,0.02054657223038888,280.8031538153147
103,황학동,1,106,2,884,428,0.02953360951490044,605.438995055459
156,신당동,7,107,1,154,116,0.005144995322731525,210.9448082319925
18,신당동,2,108,22,569,449,0.019009755445676867,35.427271512397795
19,신당동,2,109,22,569,449,0.019009755445676867,35.427271512397795
20,신당동,2,110,22,569,449,0.019009755445676867,35.427271512397795
115,황학동,13,111,2,183,157,0.006113858078310838,125.33409060537217
127,황학동,19,112,2,318,231,0.010624081250835226,217.79366564212214
10,약수동,7,113,4,507,376,0.01693839369236937,173.61853534678605
147,약수동,6,114,3,156,87,0.00521181344380596,71.22811706534812
157,동화동,4,115,2,471,205,0.015735667513029534,322.58118401710544
158,동화동,4,116,2,471,205,0.015735667513029534,322.58118401710544
159,약수동,12,117,1,319,126,0.010657490311372444,436.9571027662702
160,동화동,9,118,1,350,161,0.011693171188026192,479.4200187090739
161,약수동,17,119,1,778,276,0.025992249097955365,1065.68221301617
162,약수동,11,120,1,283,229,0.009454764132032608,387.6453294133369
11,약수동,7,121,4,507,376,0.01693839369236937,173.61853534678605
163,신당5동,9,122,2,471,175,0.015735667513029534,322.58118401710544
164,신당5동,9,123,2,471,175,0.015735667513029534,322.58118401710544
148,약수동,6,124,3,156,87,0.00521181344380596,71.22811706534812
165,동화동,3,125,1,412,218,0.01376453294133369,564.3458505946812
166,약수동,8,126,1,309,168,0.010323399706000267,423.259387946011
155,신당5동,4,127,2,631,341,0.021081117198984364,432.16290257917944
112,신당5동,15,128,3,471,247,0.015735667513029534,215.05412267807029
113,신당5동,15,129,3,471,247,0.015735667513029534,215.05412267807029
167,신당5동,17,130,3,203,147,0.006782039289055191,92.6878702837543
100,황학동,3,131,4,154,128,0.005144995322731525,52.73620205799813
151,신당5동,3,132,4,469,301,0.0156688493919551,160.60570626753977
101,황학동,3,133,4,154,128,0.005144995322731525,52.73620205799813
168,신당5동,17,134,3,203,147,0.006782039289055191,92.6878702837543
169,신당5동,17,135,3,203,147,0.006782039289055191,92.6878702837543
152,신당5동,3,136,4,469,301,0.0156688493919551,160.60570626753977
153,신당5동,3,137,4,469,301,0.0156688493919551,160.60570626753977
123,신당5동,5,138,3,615,271,0.02054657223038888,280.8031538153147
170,황학동,6,139,1,290,161,0.00968862755579313,397.2337297875183
21,신당동,2,140,22,569,449,0.019009755445676867,35.427271512397795
22,신당동,2,141,22,569,449,0.019009755445676867,35.427271512397795
23,신당동,2,142,22,569,449,0.019009755445676867,35.427271512397795
24,신당동,2,143,22,569,449,0.019009755445676867,35.427271512397795
25,신당동,2,144,22,569,449,0.019009755445676867,35.427271512397795
26,신당동,2,145,22,569,449,0.019009755445676867,35.427271512397795
27,신당동,2,146,22,569,449,0.019009755445676867,35.427271512397795
28,신당동,2,147,22,569,449,0.019009755445676867,35.427271512397795
29,신당동,2,148,22,569,449,0.019009755445676867,35.427271512397795
171,청구동,19,149,1,899,348,0.030034745422958708,1231.424562341307
77,신당동,3,150,8,360,284,0.01202726179339837,61.63971669116665
78,신당동,3,151,8,360,284,0.01202726179339837,61.63971669116665
68,신당동,4,152,6,265,193,0.008853401042362688,60.498240456145034
30,신당동,2,153,22,569,449,0.019009755445676867,35.427271512397795
31,신당동,2,154,22,569,449,0.019009755445676867,35.427271512397795
32,신당동,2,155,22,569,449,0.019009755445676867,35.427271512397795
33,신당동,2,156,22,569,449,0.019009755445676867,35.427271512397795
34,신당동,2,157,22,569,449,0.019009755445676867,35.427271512397795
35,신당동,2,158,22,569,449,0.019009755445676867,35.427271512397795
69,신당동,4,159,6,265,193,0.008853401042362688,60.498240456145034
79,신당동,3,160,8,360,284,0.01202726179339837,61.63971669116665
119,청구동,6,161,5,344,154,0.011492716824802886,94.24027796338366
36,신당동,2,162,22,569,449,0.019009755445676867,35.427271512397795
70,신당동,4,163,6,265,193,0.008853401042362688,60.498240456145034
80,신당동,3,164,8,360,284,0.01202726179339837,61.63971669116665
52,청구동,1,165,2,266,159,0.008886810102899906,182.17960710944806
71,신당동,4,166,6,265,193,0.008853401042362688,60.498240456145034
109,청구동,4,167,4,399,220,0.01333021515434986,136.63470533208607
110,청구동,4,168,4,399,220,0.01333021515434986,136.63470533208607
46,신당동,13,169,2,605,328,0.020212481625016706,414.35587331284245
120,청구동,6,170,5,344,154,0.011492716824802886,94.24027796338366
72,신당동,4,171,6,265,193,0.008853401042362688,60.498240456145034
