,행정동명,통,총인구수,세대수,노드
0,동화동,1,448.0,190.0,2.0
1,동화동,2,286.0,152.0,4.0
2,동화동,3,412.0,218.0,1.0
3,동화동,4,471.0,205.0,2.0
4,동화동,5,366.0,183.0,0.0
5,동화동,6,673.0,244.0,1.0
6,동화동,7,703.0,247.0,0.0
7,동화동,8,717.0,247.0,1.0
8,동화동,9,350.0,161.0,1.0
9,동화동,10,514.0,220.0,5.0
10,동화동,11,463.0,216.0,0.0
11,동화동,12,345.0,204.0,0.0
12,동화동,13,751.0,277.0,0.0
13,동화동,14,756.0,250.0,0.0
14,동화동,15,580.0,217.0,0.0
15,동화동,16,259.0,98.0,0.0
132,신당5동,3,0.0,0.0,4.0
133,신당5동,4,0.0,0.0,2.0
134,신당5동,5,0.0,0.0,3.0
135,신당5동,9,0.0,0.0,2.0
136,신당5동,15,0.0,0.0,3.0
137,신당5동,17,0.0,0.0,3.0
33,신당동,1,332.0,195.0,3.0
34,신당동,2,569.0,449.0,22.0
35,신당동,3,360.0,284.0,8.0
36,신당동,4,265.0,193.0,6.0
37,신당동,5,340.0,240.0,2.0
38,신당동,6,417.0,257.0,2.0
39,신당동,7,154.0,116.0,1.0
40,신당동,8,393.0,244.0,1.0
41,신당동,9,214.0,152.0,3.0
42,신당동,10,133.0,79.0,4.0
43,신당동,11,169.0,108.0,1.0
44,신당동,12,245.0,137.0,0.0
45,신당동,13,605.0,328.0,2.0
46,신당동,14,472.0,255.0,0.0
47,신당동,15,360.0,198.0,0.0
48,신당동,16,338.0,200.0,0.0
49,신당동,17,471.0,294.0,0.0
50,신당동,18,886.0,385.0,0.0
51,신당동,19,699.0,622.0,7.0
16,신당제5동,1,291.0,183.0,0.0
17,신당제5동,2,571.0,439.0,0.0
18,신당제5동,3,469.0,301.0,0.0
19,신당제5동,4,631.0,341.0,0.0
20,신당제5동,5,615.0,271.0,0.0
21,신당제5동,6,374.0,194.0,0.0
22,신당제5동,7,328.0,161.0,0.0
23,신당제5동,8,641.0,235.0,0.0
24,신당제5동,9,471.0,175.0,0.0
25,신당제5동,10,519.0,192.0,0.0
26,신당제5동,11,514.0,194.0,0.0
27,신당제5동,12,488.0,251.0,0.0
28,신당제5동,13,437.0,172.0,0.0
29,신당제5동,14,407.0,217.0,0.0
30,신당제5동,15,471.0,247.0,0.0
31,신당제5동,16,681.0,338.0,0.0
32,신당제5동,17,203.0,147.0,0.0
85,약수동,1,599.0,327.0,1.0
86,약수동,2,576.0,300.0,0.0
87,약수동,3,487.0,220.0,0.0
88,약수동,4,511.0,274.0,0.0
89,약수동,5,279.0,127.0,0.0
90,약수동,6,156.0,87.0,3.0
91,약수동,7,507.0,376.0,4.0
92,약수동,8,309.0,168.0,1.0
93,약수동,9,281.0,147.0,1.0
94,약수동,10,342.0,208.0,0.0
95,약수동,11,283.0,229.0,1.0
96,약수동,12,319.0,126.0,1.0
97,약수동,13,520.0,227.0,0.0
98,약수동,14,658.0,305.0,0.0
99,약수동,15,913.0,361.0,0.0
100,약수동,16,526.0,196.0,0.0
101,약수동,17,107.0,39.0,1.0
102,약수동,17,778.0,276.0,1.0
109,약수동,18,842.0,358.0,0.0
110,약수동,19,583.0,214.0,0.0
111,약수동,20,839.0,341.0,0.0
112,약수동,21,705.0,254.0,0.0
113,약수동,22,813.0,331.0,0.0
114,약수동,23,395.0,136.0,0.0
115,약수동,24,422.0,153.0,0.0
116,약수동,25,558.0,321.0,0.0
117,약수동,26,561.0,337.0,0.0
118,약수동,27,355.0,197.0,0.0
119,약수동,28,442.0,251.0,0.0
120,약수동,29,406.0,231.0,0.0
121,약수동,30,567.0,339.0,0.0
122,약수동,31,568.0,337.0,0.0
70,청구동,1,266.0,159.0,2.0
71,청구동,2,292.0,165.0,3.0
72,청구동,3,216.0,117.0,3.0
73,청구동,4,399.0,220.0,4.0
74,청구동,5,568.0,274.0,0.0
75,청구동,6,344.0,154.0,5.0
76,청구동,7,694.0,377.0,1.0
77,청구동,8,554.0,344.0,1.0
78,청구동,9,656.0,393.0,4.0
79,청구동,10,268.0,199.0,3.0
80,청구동,11,1142.0,468.0,0.0
81,청구동,12,895.0,313.0,2.0
82,청구동,13,890.0,327.0,0.0
83,청구동,14,476.0,232.0,0.0
84,청구동,14,1112.0,538.0,0.0
103,청구동,15,435.0,238.0,0.0
104,청구동,16,676.0,417.0,0.0
105,청구동,17,1070.0,371.0,1.0
106,청구동,18,808.0,300.0,0.0
107,청구동,19,899.0,348.0,1.0
108,청구동,20,734.0,422.0,0.0
52,황학동,1,884.0,428.0,2.0
53,황학동,2,353.0,218.0,0.0
54,황학동,3,154.0,128.0,4.0
55,황학동,4,377.0,212.0,2.0
56,황학동,5,154.0,86.0,0.0
57,황학동,6,290.0,161.0,1.0
58,황학동,7,728.0,409.0,3.0
59,황학동,8,762.0,572.0,1.0
60,황학동,9,555.0,453.0,1.0
61,황학동,10,134.0,85.0,0.0
62,황학동,11,179.0,102.0,0.0
63,황학동,12,107.0,75.0,2.0
64,황학동,13,183.0,157.0,2.0
65,황학동,14,431.0,266.0,3.0
66,황학동,15,643.0,449.0,2.0
67,황학동,16,553.0,330.0,2.0
68,황학동,17,190.0,112.0,3.0
69,황학동,17,247.0,150.0,3.0
123,황학동,18,719.0,473.0,1.0
124,황학동,19,318.0,231.0,2.0
125,황학동,20,738.0,319.0,1.0
126,황학동,21,719.0,310.0,0.0
127,황학동,22,668.0,259.0,0.0
128,황학동,23,725.0,305.0,0.0
129,황학동,24,751.0,325.0,0.0
130,황학동,25,597.0,336.0,0.0
131,황학동,26,780.0,653.0,1.0
